N;Algoritmo;TempoMedio_ms;MemoriaMedia_KB;Chamadas_Recursivas;Podas;Solucoes
4;Backtracking Classico;0,01;32,06;17;44;2
5;Backtracking Classico;0,02;32,72;54;167;10
6;Backtracking Classico;0,03;32,72;153;742;4
7;Backtracking Classico;0,08;32,73;552;3033;40
8;Backtracking Classico;0,28;32,73;2057;13664;92
9;Backtracking Classico;1,27;32,73;8394;63985;352
10;Backtracking Classico;5,53;32,73;35539;312612;724
11;Backtracking Classico;27,50;32,74;166926;1639781;2680
12;Backtracking Classico;145,06;32,74;856189;9247680;14200
13;Backtracking Classico;789,42;32,75;4674890;55140425;73712
14;Backtracking Classico;4495,31;32,75;27358553;350542846;365596
